transliteration,translation,source
ma-na-um 0.33333 ma-na i-na ša-tim tù-ṣa-áb um-ma um-ma PUZUR4.IŠTAR-ma a-bu-kà maš-ki-a il5-qé-ma uš-ta-bu-ú ki-ma šu-be-lim nu-ší-ib-ma ni-iš a-limki it-mu-ú-ma a-na 8 ma-na KÙ.BABBAR i-mì-ig-ru IGI ni-mar-IŠTAR,"You pay 0.3333 mina per mina per year as interest."" Puzur-Ištar answered: ""Your father received my hides so he has been paid."" We sat down to negotiate on behalf of Šu-Bēlum and they swore an oath by the City and agreed on 8 minas of silver.",train_split
a-na i-ku-pí-a-šur áš-pu-ra-am,I wrote to Ikūppī-Aššur.,sentence_word_index
a-na ša-lim-a-šùr qí-bi-ma um-ma šu-dDUMU.ZI a-dí-da e-lá-a ù la-ma-sí-ma i-na wa-ṣa-i-kà big_gap um-ma a-ta-ma a-šùr-DU10 DUMU lu-lu KÙ.BABBAR 10 ma-na gap gap gap a gap gap me-er- gap gap gap gap,"To Šalim-Aššur from Šu-Tammuzi, Adida, Elaya and Lamassī: When you left big_gap you said: Lulu's son Aššur-ṭāb big_gap at least 10 minas of silver big_gap "" big_gap the king will receive its / his tithe.",train_split
18 GÍN KÙ.BABBAR ša en-um-a-šur i li-bi a-šur-ba-ni 13.5 ma-na URUDU ší-ku-um ša en-um-a-šur i li-bi4 e-nu-re-ṣí-im ša 1 ma-na 5 GÍN KÙ.BABBAR ṭup-pá-am ha-ar-ma-am ša hu-bu-ul e-nu-re-ṣí-im a-na i-ku-pí-a e-zi-ib,18 shekels of silver belonging to Ennam-Aššur is owed by Aššur-bāni. 13 ½ minas of -copper belonging to Ennam-Aššur is owed by Ennam-rēṣum. Concerning 1 mina 5 shekels of silver he has left a certified tablet about the debt of Ennam-rēṣum to Ikūn-pīya.,original_document
a-wa-ti ša DAM GAL sí-sé-e ma-lá tág-mu-ru té-er-ta-kà lí-lí-kam,Let your word come as to whether you have come to an agreement about the matter of the wife of the chief of horses.,sentence_word_index
KIŠIB a-šur-i-mì-tí DUMU du-dí-ki KIŠIB ú-ṣur-ša-a-šur DUMU a-ku-a KIŠIB a-šur-ba-ni kà-al-bi4-im,"Seal of Aššur-imittī son of Dudiki, seal of Uṣur-ša-Aššur son of Akuwa, seal of Aššur-bāni, the dog"".",train_split
a-na šu-be-lim e-zi-ib IGI i-šu-hi-im DUMU gap -mì-im IGI a-sà-nim DUMU šu-be-lim,"In the presence of Išuhum, son of big_gap mum, and of Asānum, son of Šu-Bēlum.",train_split
iš-tù ha-mu-uš-tim ša kur-ub-IŠTAR DUMU a-lá-hi-im a-na 15 ha-am-ša-tim i-ša-qal,He will pay 15 weeks from the ḫamuštum of Kurub-Ištar s. Al-aḫim.,sentence_word_index
ú a-na ni-ší bé-tim ú a-na ṣú-ùh-ri-im e-pu-uš,"And I must also make textiles, for the members of the house and for the little ones.",sentence_word_index
a-na da-da-a-a a-lá-hi-im ù {d}EN.LÍL-ba-ni qí-bi-ma um-ma PUZUR4-a-šur-ma 0.33333 ma-na 2 GÍN KÙ.BABBAR šu-hu-bur DUMU i-dí-a-bi4-im li-iš-qú-lá-ku-nu-tí-ma KÙ.BABBAR šu-a-tí a-na {d}EN.LÍL-ba-ni DUMU a-šùr-ma-lik šu-uq-lá-ma ṭup-pí šé-ṣí-a-ma li-it-a-ma a-šar a-lá-hi-im i-na li-bi-i ṭup-pé-e-a šu-uk-na a-hu-ú-a a-tù-nu ih-da-ma KÙ.BABBAR šu-hu-bur ša-áš-qí-lá-ma ṭup-pí-i šé-ṣí-a-nim,"To Dadaya, Al-aḫum and Enlil-bāni from Puzur-Aššur:",sentence_word_index
5 GÚ URUDU-a-kà ma-sí-am ša-bu-ra-am PUZUR4-dUTU li-iš-qú-lá-kum a-na ṣí-ib-tim ma-lá u4-mu e-tí-qú-ni-ni i-a-tí URUDU a-nim a-na 4 u4-me DINGIR i-ša-hi-iṭ-ma ha-muš-tum,"As for the interest, as much as the term is exceeded this copper is my obligation."" In 4 days the god will rise and it is the week of Adad-ṣulūlī big_gap month Kuzallu, eponymy Ṣilūlu.",train_split
ma-lá 20 ma-na KÙ.BABBAR-pì-šu URUDU a-na bu-ru-uš-ha-dum iš-tù ITU.20.KAM a-bu-uk,I dispatched copper worth 20 minas of silver two months ago to Purushattum.,sentence_word_index
a-na dMAR.TU-ba-ni big_gap e-nu-um-bé-lim LUGAL-dIM ù pá-na-kà qí-bi-ma um-ma ša-lim-a-šùr-ma 12 ma-na KÙ.BABBAR ṣa-ru-pá-am ni-is-ha-sú DIRI ša-du-a-sú ša-bu ša a-na na-ru-uq a-šùr-bé-el-a-wa-tim ma-áš-qá-al-tám pá-ni-tám ha-bu-lá-ku-ni,"To Amurrum-bāni, big_gap , Ennam-Bēlum, Šar-Adad and Panaka from Šalim-Aššur: Panaka and Aššur-rabi son of Nīde-bāni are bringing you 12 minas of refined silver - its import duty added, its transport tariff paid, under my seal, that I owe on Aššur-bēl-awātim's joint-stock capital, for the first instalment.",train_split
a-šur-ANDUL ù dí-dí-a mì-ma a-nim,All this I left behind to Šu-Bēlum.,train_split
big_gap ù big_gap 4 gap big_gap ša té-zi-bu big_gap ku-nu-ku-šu-nu big_gap ù ša ka-sà-tim ša DU10-ṣí-lá-a-šùr ù 1 big_gap a-bi-we-du DUMU gap big_gap i-ra-dí-a-ku-um ší-tí lu-qú-tim ša a-pí-im lá-ta-ra-ak iṣ-ba-at ṭup-pá-am ša ší-bu-tim da-na-am al-qé-ma ù ší-ip-ra-am áš-pu-ur-ma lu-qú-tám ú-ší-ir-ma a-bi-we-du i-ra-dí-a-ku-um 11 GÍN big_gap gap - big_gap big_gap nu-ta-e-er a-hi a-ta a-šu-mì dMAR.TU-ba-ni pá-ší-ri-a ù KÙ.BABBAR ší-im ṣú-ba-tí-a ša ú-na-hi-du-kà gap gap ma-na 3 GÍN KÙ.BABBAR ša li-bi-i šál-ma-a-šur big_gap gap a-pu-tum i- gap big_gap,"big_gap 4 big_gap which you left behind big_gap their seals big_gap and those of the cups of Ṭāb-ṣilli-Aššur and one big_gap Abī-wedum, son of big_gap is leading to you. The rest? of the merchandise Latarak seized in Apum. I acquired a powerful tablet of the Elders and I sent a messenger and so obtained the release of the merchandise, which Abī-wedu is now bringing to you. 11 shekels of silver big_gap big_gap we gave back. Please, my brother, as for Amurrum-bāni, my retail agent and the price of my textiles for which I called your attention, and the big_gap minas 3 shekels of silver owed by Šalim-Aššur big_gap please big_gap",original_document
GÍN KÙ.BABBAR iš-tù a-lim{ki} i tù-a-ri-šu a-šur-{d}UTU-ši i-ša-qá-lam,5 shekels silver from the city he will return to him.,sentence_word_index
GÍN KÙ.BABBAR ṣa-ru-pá-am ší-im a-bar-ni-im ku-zu-zi-a iš-tù 19 ša-na-tim ha-bu-lam,"Kuzuziya has owed me 17 shekels of refined silver, the price of an abarniu-textile, for 10 years.",sentence_word_index
a qá-tí ṣú-ha-ri-ša 1 GÍN KÙ.BABBAR sà-he-er-tám a-dí-šu-nu-tí 1 GÍN KÙ.BABBAR a-na Ì.GIŠ 0.33333 GÍN ú-ku-ul-tí ANŠE,For a value of 1 shekel of silver I gave them sundries. 1 shekel of silver for oil 0.3333 shekel fodder for the donkey.,train_split
šu-ma i-qá-bi4 um-ma šu-ut-ma KÙ.AN ša a-wi-lim ša NÍG.KA-sí 10-tim ú ša-du-a-tám li-qé-a-ma ša ba-ri-ni li-li-kam-ma GÍR ša a-šur li-it-ma-ma ša-du-a-tám nu-ta-ar-šu-um,"If the person in question protests and declares: 'the meteoric iron belongs to ""a man with an account"",' still take the tithe and the šaddu'utu-tax and let one who is one of us come here to swear an oath by Assur's dagger then we will give him back the šaddu'utu-tax.",sentence_word_index
KIŠIB ku-ku-lá-nim DUMU ku-ta-a KIŠIB lá-qé-pí-im DUMU PÚZUR-sa-tù-e KIŠIB šu-{d}EN.LÍL DUMU ma-nu-ki-a-šur 1.5,"Seals of Kukkulānum s. Kutaya, Lā-qēpum s. Puzur-sadūʾē, Šū-Enlil s. Mannum-kī-Aššur.",sentence_word_index
ma-na KÙ.BABBAR be-ú-lá-tù-šu 30 ma-na URUDU a-ha-ma a-na ṣí-ib-tim i-lá-kà-ni,"His working capital is 1/2 mina of silver, and interest accrues to him also on 30 minas of copper;",sentence_word_index
e-zi-bu na-pí-ší-šu-nu ù ṭup-pu-ú lu ša-ṣú-ru pì-ri-kà-nu ša ma-tí ù tí-bu-lá ma-a- gap iš-ta-ú-mu-ni a-dí en-um-a-šùr i-lá-kà-ni a ma-ma-an lá,The which Mati? and Tibula big_gap have bought do not release them to anyone before Ennam-Aššur arrives. Šamaš-tappā'ī brought you gap shekels of silver.,train_split
DUMU a-ta-a a-hi a-ta a-na a-wa-at ṭup-pí-im i-hi-id-ma iš-tí a-zu-ú tí-ir-ta-kà le-zi-ba-am,"My dear brother, pay heed to the words of the letter and let your message be left with Azu.",train_split
a-na a-ta-ta ù kà-nu-tim qí-bi4-ma um-ma a-na-ah-ì-lí-ma 0.5,"Say to Atata and Kannūtum, thus Anah-ilī:",sentence_word_index
ma-na KÙ.BABBAR li-tí SIG5-tim i-ṣé-er šu-{d}EN.LÍL ù a-šur-ni-im-ri šu-lá-ba-an i-šu,Šū-Enlil and Aššur-nimrī owe Šū-Laban 1/2 mina fine quality silver.,sentence_word_index
ma-na KÙ.BABBAR-pí i-ku-num a ṣí-ib-tim ú-kà-il5 9.66666,Ikūnum holds 5 minas of my silver for interest.,sentence_word_index
lu-qú-tí za-ar-a-at ú-pá-ha-ra-ma a-na re-eš15 da-áš-e a-ta-lá-kam,My merchandise is scattered around; I shall collect it and arrive at the beginning of spring.,sentence_word_index
ša a-wi-lim ša NÍG.KA-sí 10-tim ú ša-du-a-sú le-qé-a-ma ša ba-ri-ni li-li-kam-ma GÍR ša a-šur li-it-ma-ma ša-du-a-sú nu-ta-ar ni-ša-me-ma 30 ANŠE,"Not just Tūʾimum, but anybody who has brought in a loaded donkey by way of the -road in order to do buisness there, or if an inhabitant of a has brought up goods - produce the dagger of Aššur and people shall not spare eachother!",train_split
big_gap big_gap gap gap big_gap a-lim big_gap be-lá-nim big_gap KIŠIB a-ta-ta,"big_gap -ālim big_gap Bēlānum big_gap seal of Atata big_gap shekels of 'dust silver' big_gap , son of Aššur-šamšī, owes to the creditor.",train_split
um-ma me-er-ú i-dí-a-bi4-im-ma a-na ša-lim-a-šùr-ma a-na a-i-tim tù-kà-al-ni-a-tí lá-mì-id-ni-a-tí,The sons of Iddin-abum said as follows to Šalim-Aššur: For which things do you detain us?,train_split
i-a-šar i-ra-de8-a-kum,Ea-šar brings this to you.,sentence_word_index
um-ma ša-lim-a-šùr-ma,From Šalim-Aššur:,sentence_word_index
mì-ma lá ta-ša-kà-na a-pu-tum a-wa-tum da-na-at,Do not send anything lest you be sorry.,train_split
a-bi4 a-ta be-lí a-ta lu a-na tám-kà-ru-tim lu a-na ma-lá ta-le-e-ú dí-in-šu-ma KÙ.BABBAR a-na a-lim{ki} ša-ak-ší-dí,"My dear father and lord, sell it to merchants or to anyone you can and cause the silver to come to the city for me.",sentence_word_index
a-pu-tum ri-iš lu-qú-tim ša DAM.GÀR ša-ṣí-ir ú a ma-lá tí-ir-tí-kà um-ma a-ta-ma ṣú-ba-tù an-hu-tum i-ba-ší-ú a-pu-tum i-na ša-am-ší ṭup-pí-i ta-ša-me-ú i-na hu-ur-ší-im ša ib-ri-im a-ta ù i-lá-áš-ra-ni ṣú-ba-tí kà-lá-šu-nu-ma na-pí-ša-ma 3 u4-me-e ù 5 u4-me-e,"Urgent, guard the goods of the merchant; and with regard to your message where you said: There are some old textiles"" - urgent, the very day you hear my letter you and Ilī-ašrannī should air all of the textiles in the store-room of a friend, and leave them for 3 or 5 days before you turn them over.",train_split
10 ma-na KÙ.BABBAR ṣa-ru-pu-um ni-is-ha-sú DIRI ša-du-a-sú ša-bu ša tám-kà-ri-im a-na i-li-a ù ša ki-ma lá-qé-ep ù a-ha-ma 0.33333 ma-na KÙ.BABBAR ša ta-ad-mì-iq-tí-šu ša i-li-a 1 GÍN KÙ.BABBAR šé-bu-ul-tù-šu a-na er-ra-ili5 0.33333 ma-na KÙ.BABBAR ša 3 TÚGe-pí-šé-e 3 GÍN šé-bu-ul-ta-ša a-na ší-ša-ra mì-ma a-nim ša lá-qé-ep 0.66666 ma-na KÙ.BABBAR a-na da-dí-a 0.33333 ma-na a-na en-nam-a-šur 0.33333 ma-na a-na a-šur-re-ṣí 3 GÍN a-na a-šur-re-ṣí ŠU.NÍGIN 4 ri-ik-sú ša e-lá-ma mì-ma a-nim ša lá-qé-ep a-na šu-be-lim áp-qí-id IGI a-šùr-na-da DUMU a-šùr-i-dí IGI šu-sú-in DUMU šu-hu-bu-ur,"10 minas of refined silver, its excise added, his transport fee paid, belonging to the merchant, for Iliya and the representatives of Lā-qēp, and separately 0.3333 mina of silver from Iliya's free loan. 1 shekel of silver, his consignment for Erra-ilī. 0.3333 mina of silver for 3 -textiles, 3 shekels of silver, her consignment for Šī-šarra all this of Lā-qēp. 0.6666 mina of silver for Dadiya, 0.3333 mina for Ennam-Aššur, 0.3333 mina for Aššur-rēṣī, 3 shekels for Aššur-rēṣī, in all 4 packets of Elamma, all this belonging to Lā-qēp I entrusted to Šu-Bēlum. In the preence of Aššur-nādā, son of Aššur-idī, and of Šu-Suen, son of Šu-hubur.",original_document
a-šur-lá-ma-sí DUMU la-qé-ep e-lá-ma i-šu,"Month I, eponymy of the successor of Šu-hubur. 8 minas of refined silver Šuli, son of Puzur-Abeh, owes to Elamma.",train_split
big_gap a-na,big_gap for his extradition.,train_split
dUTU-ba-ni big_gap ni-dí-in 6 GÍN KÙ.BABBAR i-na ší-im ú-ṭí-tim a-na,"All this we gave to Šamaš-bāni. 6 shekels of silver, the price of grain, for big_gap",train_split
a-na a-šùr-iš-tí-kál i-ku-pí-a ù i-dí-a-bi-im qí-bi-ma um-ma en-um-a-šur-ma a-na i-ku-pí-a qí-bi-ma i-nu-mì a-na-kam tù-uš-bu 5 GÚ URUDU ma-sí-am SIG5 ša-bu-ra-am gap -ri- gap ah-bu-lá-kum ki-ma a-bi-a ta-ba-ší-ma ú-lá ú-ba-áš-kà-ma qá-at-kà ú-lá am-ha-aṣ a-na-kam PUZUR4-dUTU DUMU šu-nu-nu a-na 15 u4-me-e URUDU ša-qá-li-im tù-ša-zi-za-am-ma a-dí u4-mì-im a-nim URUDU mì-ma ú-lá iš-qú-lam ù i-na ma-ha-ar ṣú-ha-ri-kà-ma a-dí ha-am-ší-šu ú iš-ri-šu iš-tí-šu a ṣí-bi-it-ma ṣú-ha-ru-kà i-da-gu5-lu um-ma a-na-ku-ma URUDU PUZUR4-dUTU lu-ša-áš-qí-il5-ma gi-mì-lam i-ṣé-er a-wi-LAM lá-áš-ku-un-ma a ša a-na-ah-tí ša 2 ma-na KÙ.BABBAR a-da-nu-šu-ni ú a-ni-um lu gi5-mì-lam šu-a-tí-ma li-bu-šu-ma lu i-de8 a-na-kam PUZUR4-dUTU ú-ni-ha-ni-ma a-na kà-ri-im ir-dí-a-ni-ma KÙ.BABBAR 5 GÍN uš-ta-ag-me-ra-ni-ma ṭup-pá-am ša ší-bi-a al-té-qé ša i-na lá i-dí-im šu-um-kà IGI ṣa-he-er GAL a- gap,"To Aššuriš-tikal, Ikūn-pīya and Iddin-abum from Ennam-Aššur; specifically to Ikūn-pīya: When you stayed here I lent you 5 talents of washed, good, broken copper big_gap You are like a father to me, I shall not put you to shame and I have not refused you anything. Here you appointed Puzur-Šamaš son of Šu-Nūnu for me in order to pay the copper in 15 days, but until today he has not paid any copper to me. Also, in the presence of your own servants I have quarrelled with him five or ten times, and your servants observe this. I said: Let Puzur-Šamaš have the copper paid so I can do the man a favour, and since I shall give him the earnings from 2 minas of silver may this man indeed know about this favour!"" Puzur-Šamaš has troubled me here, led me to the colony and put me to an expense of at least 5 shekels of silver, so I got hold of a tablet with my witnesses, stating that without reason he spoke your name big_gap before the plenary assembly. He said: ""What silver does Ikūn-pīya have as a claim on me?"" I said: ""I have answered you. Therefore I have taken a tablet with witnesses big_gap if big_gap from the month big_gap To Ikūn-pīya: I was unhappy with respect to your goods that you gave to Adad-ṣulūlī and the son of Šu-Nūnu, so I wrote you. You must decide yourself about your goods. """,original_document
ú xx šé-bi-il5-šu-um a-hi,"My dear brother, pay attention to my instructions.",train_split
a-na a-la-hi-im lu-lu ù en-um-a-šùr a-na en-um-a-šùr qí-bi-ma um-ma PUZUR4-a-šùr-ma 13 ma-na AN.NA ku-nu-ki-a i-na za-al-pá a-dí-na-ku-um um-ma a-na-ku-ma a-na kà-né-eš šé-ri-ba-šu IGI a-šùr-ba-ni DUMU ku-ta-a IGI,"To Ali-ahum, Lulu and Ennam-Aššur; specifically to Ennam-Aššur from Puzu-Aššur: I gave you 13 minas of tin under my seal in Zalpa, and I said: Lead it into Kanesh."" Witnesses were Aššur-bāni son of Kutaya, Ennam-Suen son of the Suen-priest.",train_split
ša ì-lí-na DUMU.SAL a-šur-DU10 mì-ma a-nim lá-ma-sà-tum DAM e-lá-ma té-zi-ib IŠTAR-pá-li-il5 en-na-sú-en6 ù ma-ṣí-ì-lí ša ki-ma lá-ma-sà-tim a-na DUMU um-mì-a-nim ù ma-ri-ša i-pá-qí-du-ma a-na a-limki ú-bu-lu-ú-ma a ma-lá ší-ma-tí-šu-nu me-er-i-tí NIN.DIN,"Ištar-pālil, Ennam-Suen and Maṣi-ilī, Lamassutum's representatives, will entrust it to an affiliated trader and to her sons and they will bring it to the City and there my daughter, the -priestess, and my sons will act in accordance with the testamentary dispositions applying to them.",train_split
a-ma-kam i-na ša-ha-at PUZUR4-ì-lí ra-bi-ṣí-ni i-zi-za-a-ma i-ku-nam a-na na-ru-qí-šu e-bi-ba-šu-ma ki-ma a-wi-lam tù-bi-ba-a-ni té-er-ta-ku-nu iš-tí a-li-ki-im pá-nim-ma li-li-kam-ma a-na-kam i-na mì-ma i-ku-num i-šu-ú-ni šál-ša-tí-šu lu né-mu-sú-ma lu ni-il5-qé,"There, assist Puzur-ilī our attorney to clear Ikūnum concerning his",sentence_word_index
ša KÙ.BABBAR 10 ma-na qí-ip-tám ki-ma a-na u4-me qí-ip-tim DAM.GÀR ta-qí-pu ša KÙ.BABBAR 10 ma-na ù i-a-tí dí-na-ma i-na re-eš15 qí-ip-tim ša ta-da-na-ni 10 GÚ URUDU ma-sí-am i-na tur4-hu-mì-it a-na ša ki-ma ku-a-tí lá-dí-in-ma URUDU a-na bu-ru-uš-ha-dum le-ru-ub-ma KÙ.BABBAR ma-lá i-ma-qú-ta-ni a-na a-lim{ki} lu-šé-bi-il5-ma ší-ma-am a-na qí-ip-tí-a i-na bé-tí-kà li-iš-ú-mu,"The package worth 10 minas silver, when you sold it on credit to the merchant, give the package worth 10 mians silver and mine so thatI can give from the top of the package which you sold, 10 talents washed copper from Durḫumit to your representative and I will casue the copper to arrive at Purušḫattum and I wil send the silver as much as it fetches to the city and they may make purchases for my package from your house.",sentence_word_index
ú-ṣa-áb ITU.KAM ma-hu-ur-DINGIR li-mu-um ša qá-té dIŠKUR-ba-ni,"Month IV, eponymy of the successor of Adad-bāni.",train_split
šu-ma i pá-ni i-dí-IŠTAR pu-úz-ra-am e-ta-ha-az a-na 1 ma-na 6 GÍN.TA i-na ITU.KAM ṣí-ib-tám ú-ṣa-áb,"If he goes into hiding from Iddin-Ištar, he will add interest at the rate 6 shekels per mina per month.",sentence_word_index
ma-na KÙ.BABBAR iš-tí en-na-sú-in al-qé 1 ma-na KÙ.BABBAR,"I received from the man of Tumliya; 1 mina of silver owed by Ušhata's son; 2.5 mina of silver owed by Ikūn-pīya son of big_gap ; 1 talent of -copper owed by Shorty""; also Shorty gave me a slave-girl and left her with Ah-šalim.",train_split
ma-na URUDU KI a-šur-ba-ni DUMU ha-zu-zi-im iš-tù nu-ku-ra-tim ša kà-ni-iš 1 ma-na.TA ṣí-ib-tám ú-ṣa-áb,Aššur-bāni s. Ḫazzuzim owes 10 minas copper.,sentence_word_index
KÙ.BABBAR i qá-qá-ad šál-mì-šu-nu ra-ki-is,The obligation to pay the silver is bound to whichever one is financially solvent.,sentence_word_index
ú-ša-hi-zu-šu-nu-ni le-pu-šu ù 22 TÚGṣú-ba-tù ša iš-tí a-lá-hi-im i-ba-ší-ú-ni a-na er-bi-a ha-áš-ha-ak-šu-nu a-ṣé-ri-a šé-bi-lá-ni-šu-nu a-hu-a a-tù-nu a-na tí-ir-tí-a ih-da ù a-na a-dí ša um-me-a-ni-a ša a-ma-kam wa-áš-bu-ni-ma áš-pu-ra-ku-nu-tí-ni ih-da-ma i-na a- gap šu-ba-al-ki-ta-šu-,"My dear brothers, pay heed to my message, and do take care concerning the affair of my investors who live there, as I wrote to you. and ship them in big_gap and in addition to what big_gap that they agreed on, listen to their message and encourage me and bring me close to the colony.""",train_split
a-bi4 a-ta be-lí a-ta AN.NA-ki ki-ma e-ru-ba-ni a-na KÙ.BABBAR dí-in-ma KÙ.BABBAR a-na pá-ni-a šé-bi-lam,"My dear father and lord, sell my tin, as much as arrives, for silver, and send the silver ahead of me.",sentence_word_index
